label,title,content
9,Platymetopus, Platymetopus is a genus of beetles in the family Carabidae containing the following species: Platymetopus brevilabris Laferte-Senectere 1853 Platymetopus colpophilus Alluaud 1918 Platymetopus congestulus Basilewsky 1948 Platymetopus crenulatus Chaudoir 1878 Platymetopus cribricollis Facchini 2004 Platymetopus curtulus (Peringuey 1908) Platymetopus cyaneus Facchini 2004 Platymetopus diversepunctatus Facchini 2004 Platymetopus figuratus Boheman 1848 Platymetopus flavilabris (Fabricius 1798) Platymetopus guineensis Dejean 1831 Platymetopus indicus Jedlicka 1969 Platymetopus interpunctatus Dejean 1829 Platymetopus keiseri Louwerens 1956 Platymetopus laevigatus Kuntzen 1919 Platymetopus laticeps Dejean 1829 Platymetopus lepidus Dejean 1829 Platymetopus ludificus (H.Kolbe 1883) Platymetopus majusculus Lorenz 1998 Platymetopus obscuripes Chaudoir 1878 Platymetopus pictus Andrewes 1923 Platymetopus platythorax Basilewsky 1948 Platymetopus quadrimaculatus Dejean 1829 Platymetopus quadrinotatus Burgeon 1936 Platymetopus rectangularis Burgeon 1936 Platymetopus rugosus (Nietner 1857) Platymetopus sakalava Jeannel 1948 Platymetopus schoenherri Dejean 1831 Platymetopus seriatus Chaudoir 1878 Platymetopus straeleni Basilewsky 1947 Platymetopus subrugosus Schauberger 1938 Platymetopus sudanicus Basilewsky 1967 Platymetopus tessellatus Dejean 1829 Platymetopus tibialis (H.Kolbe 1883) Platymetopus tritus Bates 1889 Platymetopus vestitus Dejean 1829 Platymetopus xanthographus (Alluaud 1916)↑
9,Sicera, Sicera is a genus of moth in the family Gelechiidae.
8,Strzeczonka, Strzeczonka [stʂɛˈt͡ʂɔnka] is a village in the administrative district of Gmina Debrzno within Człuchów County Pomeranian Voivodeship in northern Poland. It lies approximately 7 kilometres (4 mi) north-west of Debrzno 16 km (10 mi) south-west of Człuchów and 130 km (81 mi) south-west of the regional capital Gdańsk.For details of the history of the region see History of Pomerania.
6,Rose Hill Manor, Rose Hill Manor is a historic home located at Frederick Frederick County Maryland. It is a 2 1⁄2-story brick house. A notable feature is the large two-story pedimented portico supported by fluted Doric columns on the first floor and Ionic columns on the balustraded second floor. It was the retirement home of Thomas Johnson (1732–1819) the first elected Governor of the State of Maryland and Associate Justice of the United States Supreme Court.
8,Eslamabad-e Bezahrud, Eslamabad-e Bezahrud (Persian: اسلام اباد بزه رود‎ also Romanized as Eslāmābād-e Bezahrūd; also known as Bazrūd Bezarūd Bozeh Rūd Boz Rūd and Buzrud) is a village in Kanduleh Rural District Dinavar District Sahneh County Kermanshah Province Iran. At the 2006 census its population was 92 in 24 families.
2,Jonathan Singleton, Jonathan Singleton is an American country music singer and songwriter. He is known for co-writing the songs Don't by Billy Currington Watching Airplanes by Gary Allan Red Light and Let It Rain by David Nail and Why Don't We Just Dance by Josh Turner.
4,Hans-Josef Fell, Hans-Josef Fell (born 7 January 1952 in Hammelburg) is a member of the Green Party in the German Parliament. Fell framed the German Renewable Energy legislation together with Hermann Scheer. He currently serves as spokesman on energy for the Alliance 90/The Greens parliamentary group a member of the Environmental Protection Committee substitute member of the Committee on Economics and Technology and substitute member of the Defense Committee.
4,Darlene Mealy, Darlene Mealy is a member of the New York City Council representing the 41st District of Brooklyn. She took office in January 2006 and is currently serving her third consecutive term in office.
0,Air Orient, Air Orient was an airline based in France. Created in 1929 from the merger of Air Asie(c. 1928) and Air Union Lignes d’Orient (c. 1927 - renamed from Messageries Transaeriennes 1923) the short lived airline was merged with Air France October 7 1933.
11,Out There (Eric Dolphy album), Out There is a 1960 jazz album by Eric Dolphy. It was Dolphy's second album released as band leader following his time with Charles Mingus. The album features four original compositions by Dolphy one of which is a collaborative effort with Mingus. The album also features three covers Eclipse by Mingus Sketch of Melba by Randy Weston and Feathers by Hale Smith.
